xMSD,MSD,yerror
0.0,0.0,0.0
0.04,0.009301686707985576,0.04286409198711557
0.08,0.019978511857781833,0.10063698636431843
0.12,0.03229533973033403,0.15564107219629103
0.16,0.04638455065060095,0.2136797601639125
0.2,0.062281633534202054,0.2770975717075774
0.24,0.07860672303139427,0.3329628989201469
0.28,0.09628229040562197,0.39419837694075704
0.32,0.1152131145412762,0.45525322211371366
0.36,0.13441098083724756,0.508423450465151
0.4,0.15467889693767298,0.5609451342852776
0.44,0.17623807811101136,0.6139000679522554
0.48,0.19904494723602423,0.6679936559759697
0.52,0.22302373108453105,0.7224545885925412
0.56,0.24349720182043152,0.7425214527125085
0.6,0.2640938507756427,0.7479258658637226
0.64,0.2863462235382295,0.7562834764661555
0.68,0.3098275344106425,0.7678823025080764
0.72,0.3235668392660993,0.7712043678836591
0.76,0.34839331337755347,0.7911413118623992
0.8,0.37401599981951966,0.8124208340288334
0.84,0.4005398313430254,0.8358940869934679
0.88,0.4291343763242977,0.8711630682418666
0.92,0.4507099925974439,0.9104042479960529
0.96,0.48092411832102006,0.9541083291004935
1.0,0.51213886632058,1.0007768311101037
1.04,0.544383500771704,1.0509115932855628
1.08,0.5776630468968061,1.1043948785367301
1.12,0.5690251035753625,1.0613771199081836
1.16,0.6037045454114266,1.1153008495043573
1.2,0.6369827436336276,1.1683323934283427
1.24,0.670999320590559,1.223207224627998
1.28,0.7059120235024455,1.2808092221868994
1.32,0.7417558358290076,1.3410680488941107
1.36,0.7784046399064607,1.4037313927944008
1.4,0.8159965070031011,1.468998112725121
1.44,0.8544316811511041,1.5365045076396358
1.48,0.8937654675560224,1.6065071611382118
1.52,0.9340754128115274,1.67919205878777
1.56,0.9752259070893388,1.7541992509280402
1.6,1.0172659358006186,1.8315723619824087
1.64,1.0601939190140077,1.9113505653165077
1.68,1.1039757593949022,1.9933742868678883
1.72,1.1486890109555794,2.07780745476655
1.76,1.1683509295831973,2.145499857064492
1.8,1.2135387278238867,2.233082848699825
1.84,1.259498702964841,2.32278484468287
1.88,1.3063136776003927,2.4147652501183177
1.92,1.3540156636587541,2.509097969231609
1.96,1.4024946731708217,2.605398508195738
2.0,1.4517184315709855,2.7034869280083953
2.04,1.4571631563157212,2.7718108056241992
2.08,1.4764756883640704,2.8657362363622427
2.12,1.5249223121149122,2.967377307292133
2.16,1.4551877150520813,2.795382581168179
2.2,1.5006584682544475,2.8895354144748837
2.24,1.439003650411794,2.758123812538827
2.28,1.4819068386337546,2.8466871558282723
2.32,1.5253452673249652,2.936556154205809
2.36,1.569372138401893,3.0281263664085967
2.4,1.6138902126861494,3.1209553671007844
