xMSD,MSD,yerror
0.0,0.0,0.0
0.04,0.005527182057735538,0.0021724587305340143
0.08,0.011134633235577476,0.006316599100877587
0.12,0.01865888383960928,0.013361370638612285
0.16,0.02772155813742691,0.023170291934850092
0.2,0.03816580021165642,0.035611497537345486
0.24,0.04977836512125253,0.05054134388937734
0.28,0.062023779933388964,0.06806828608615943
0.32,0.07582429855570039,0.08837123529408134
0.36,0.09068081752239056,0.11118884379261906
0.4,0.10675869662309244,0.1365359763011132
0.44,0.12418908491574038,0.16465151620060534
0.48,0.14287124485602018,0.19541919403874808
0.52,0.1628004976442382,0.22878875302365786
0.56,0.1822764744390458,0.265134321828764
0.6,0.20366973555854007,0.3047904598787527
0.64,0.2268473444025277,0.3458835865853111
0.68,0.2512923381879384,0.38978588285211463
0.72,0.26624120720292427,0.4212257902034354
0.76,0.29180575508356704,0.4683939869216926
0.8,0.31844859794764646,0.5180013066500415
0.84,0.34623297577884443,0.5700805342249596
0.88,0.37516458299559297,0.6247369486917835
0.92,0.39607190942127607,0.6768527254111848
0.96,0.4263651442137946,0.7358637702502194
1.0,0.4577237685084566,0.7972508023984191
1.04,0.4900513302203057,0.8605968454478714
1.08,0.5234203190340604,0.9264524713285986
1.12,0.5136757392733622,0.8681532235689061
1.16,0.5479861542278721,0.932760185018546
1.2,0.5812587523299939,0.9960135565812154
1.24,0.6154136925332188,1.0612418847074951
1.28,0.6504725808053804,1.1285519617927098
1.32,0.6864722679560699,1.197923031047852
1.36,0.7232880050240601,1.2691233484120055
1.4,0.7610632108475291,1.3424429440481136
1.44,0.7997644523510922,1.4178399182279375
1.48,0.8393688462061283,1.495234146055227
1.52,0.8798907427855018,1.5745877827408545
1.56,0.9212624969086478,1.6558729143970408
1.6,0.963530678885087,1.7391592345631206
1.64,1.0066977308426137,1.8245271197328776
1.68,1.0507243204497454,1.9118229799072537
1.72,1.0956891355357081,2.001239644911076
1.76,1.1141441651336443,2.0703479973656904
1.8,1.1595936974885126,2.1625065749588845
1.84,1.205819926285015,2.2565377663386537
1.88,1.2529063802328386,2.3526278737703996
1.92,1.3008779512134794,2.450851948118441
1.96,1.3496251194797382,2.5508261695108296
2.0,1.399130714641575,2.6524307794293445
2.04,1.4041163761350273,2.722113061457246
2.08,1.4228338269823202,2.8179177526399974
2.12,1.4715464499513815,2.9226712973566205
2.16,1.4006534898583718,2.74438989385477
2.2,1.4463643206457815,2.8416001148019356
2.24,1.3840189653222275,2.7067732811225382
2.28,1.427143306123768,2.798351871931464
2.32,1.4707987535496532,2.8910964464408457
2.36,1.5150487182740997,2.9854442427341166
2.4,1.5597867573623183,3.080929670882303
2.44,1.6051702448950274,3.177948125134928
2.48,1.6510370068977276,3.2762085506624894
2.52,1.6973937804273516,3.3756280433261256
2.56,1.7443337491536175,3.4764057863776276
2.6,1.791732756060409,3.5782496416242133
2.64,1.8396369965980874,3.6813662846928534
2.68,1.8880367690366866,3.7857244400563332
2.72,1.9369242320833144,3.8914334789029246
2.76,1.8189609377895888,3.5846413358516243
2.8,1.8644616760152,3.6822546379360572
2.84,1.9104129126909064,3.781041945528552
2.88,1.9567988426491596,3.880945679235998
2.92,2.003614880343259,3.98174938118988
2.96,2.0508856097548405,4.083744123506334
3.0,2.0986442337201074,4.186925071472067
3.04,2.1468324720170275,4.291212644539677
3.08,2.195438914965335,4.396606078601661
3.12,2.2444947103229413,4.503256452392862
3.16,2.293970611232904,4.61100811220932
3.2,2.3438744595394003,4.719889885467331
3.24,2.324394735981185,4.792589500929921
3.28,2.3736600235900833,4.902915394422053
3.32,2.423353034754041,5.014411012946608
3.36,2.4733800273114777,5.126740295083082
3.4,2.523734217797183,5.239977313558923
3.44,2.5744830891372734,5.354180187719971
3.48,2.625500511293803,5.4690802420223905
3.52,2.676935461145576,5.585274894106618
3.56,2.5730313371538514,5.478907707963737
3.6,2.622097164259832,5.59273742457915
3.64,2.6715212258753587,5.707581195401205
3.68,2.7213208851873993,5.823500855765638
3.72,2.7714684607590345,5.940445169202827
3.76,2.821943111419132,6.058373677373627
3.8,2.8728097040167273,6.17753145127006
3.84,2.9240086059482264,6.29755781312313
3.88,2.6787909829156895,5.614812866124589
3.92,2.725022439545737,5.721341984559762
3.96,2.7715579465413858,5.828709379385374
4.0,2.8184146930633474,5.937053973084262
4.04,2.86556296952262,6.046397855757458
4.08,2.9129609605392033,6.156543565950292
4.12,2.9606391374241965,6.267600728208856
4.16,3.008576300583318,6.379502971286384
4.2,3.0567877820493563,6.492223362680351
4.24,3.1052471597446947,6.60581195901041
4.28,3.1539459645985732,6.720204516975518
4.32,3.2029175974937973,6.8354998882580515
4.36,3.2521316907382696,6.951646655923892
4.4,3.3016026701633727,7.0686880035764235
4.44,3.351287810836262,7.18654111598048
4.48,3.42146050211757,7.3350966840023455
4.52,3.471967888628014,7.455111022709532
4.56,3.522742883615987,7.57596743000121
4.6,3.573752318925395,7.697670118741718
4.64,3.6250471612657638,7.820275556882487
4.68,3.6766029036572254,7.943810698901065
4.72,3.728468891669335,8.068251563088296
4.76,3.780511261159136,8.193480364388197
4.8,3.8328207121285867,8.319629058078776
4.84,3.885323971874148,8.446537005327635
4.88,3.9380712504768414,8.574316362606721
4.92,3.991080851437235,8.703107652665722
4.96,4.044346340139378,8.832744901834962
5.0,4.097894366881042,8.963318762101311
5.04,4.151647347857518,9.094605032901224
5.08,4.2056813633065655,9.226890684914201
5.12,4.2599604658656665,9.359986317316233
5.16,4.314451069921916,9.493911025991476
5.2,4.369199682434605,9.628751598771697
5.24,4.424230559811123,9.764549391008373
5.28,4.479508399696778,9.901253626698454
5.32,4.535008827454629,10.038795718746872
5.36,4.590732445674715,10.177140639145502
5.4,4.646693631337243,10.316316345879638
5.44,4.702843414535419,10.456223792043469
5.48,4.759226176292832,10.596905088113804
