xMSD,MSD,yerror
0.0,0.0,0.0
0.04,0.009281345038581855,0.04456475877417037
0.08,0.019752378273265224,0.104647236869703
0.12,0.03152201963694799,0.16181329615887036
0.16,0.04471900524889249,0.2220687507950002
0.2,0.059519010262787345,0.28782843305866507
0.24,0.07454155374700094,0.3456229769144711
0.28,0.09079436269819431,0.4072642489387952
0.32,0.10799777916876631,0.469867484327665
0.36,0.12517133114697274,0.5240666217635994
0.4,0.14312746752514044,0.5773618466396767
0.44,0.1620234108186732,0.6307745580816414
0.48,0.18184212923797946,0.6850020398521687
0.52,0.20252740541355407,0.7392236268970559
0.56,0.22024327296343277,0.7533916949803817
0.6,0.23713552613993635,0.7508846840378993
0.64,0.25521581904507334,0.7534886034689512
0.68,0.27418987837073233,0.7581805965455629
0.72,0.2932920033615903,0.7583550540373529
0.76,0.3143263170119632,0.7712307153976425
0.8,0.3359507760237991,0.7843680173406669
0.84,0.3582326677451872,0.7986154537052139
0.88,0.3823926739767262,0.8247086453074087
0.92,0.40765076466365036,0.8554338939830962
0.96,0.433829657930875,0.8894501735357522
1.0,0.46083827799040783,0.9258696389854969
1.04,0.4887556717771267,0.9655836078413271
1.08,0.5175188537263353,1.0080163547833456
1.12,0.5471210222941915,1.0531814135507056
1.16,0.577613744351564,1.1010858098704215
1.2,0.609013536437544,1.1520679412187005
1.24,0.6410902953766779,1.2047528951991284
1.28,0.6740485762937743,1.2601974145917225
1.32,0.7078543302417944,1.3181956227189637
1.36,0.7424153487917348,1.378570434900825
1.4,0.7778878831502191,1.4415428713733798
1.44,0.8141123218238611,1.5066380729090092
1.48,0.851164299888646,1.574172149429833
1.52,0.8891249278919513,1.6443387802503697
1.56,0.9278824833831779,1.716812341404559
1.6,0.9674385738904323,1.7915521767388025
1.64,1.0078330946265555,1.8686725791483998
1.68,1.0490157041842916,1.947968772769471
1.72,1.0910289581499972,2.02956031776739
1.76,1.1337593197781322,2.113061643992075
1.8,1.177298213686281,2.1987116190235856
1.84,1.2215968245364002,2.286485025884251
1.88,1.2667117641237386,2.3764881446959953
1.92,1.3126839349830803,2.4688217231512586
1.96,1.3593820857479315,2.5630582361993266
2.0,1.4067620328357642,2.6589858282069763
2.04,1.4548583062003948,2.7566662185996766
2.08,1.4721577723643773,2.847249666881792
2.12,1.5204355142981651,2.948085664294751
2.16,1.4542702429867735,2.7919728057281925
2.2,1.4997025283092915,2.8859418327916115
2.24,1.4400623098835312,2.763449840759041
2.28,1.4829984359163726,2.8521696383218913
2.32,1.5264693933745308,2.942196473250993
2.36,1.5705285786118064,3.033926301664349
2.4,1.6150818792803787,3.1269307009173697
2.44,1.660270984428916,3.2215456285386947
2.48,1.7059372943732405,3.3174946773818466
2.52,1.7520888371688959,3.4146992641698195
2.56,1.798818522532335,3.513342383990519
2.6,1.8460075643587155,3.613147010845994
2.64,1.893686653570978,3.714286105651948
2.68,1.9418637720652374,3.816747357780225
2.72,1.990521908563886,3.920621210219902
2.76,1.8731586291262396,3.615932597504808
2.8,1.9184177122533954,3.7114609263613607
2.84,1.9641973132075894,3.8083484079248553
2.88,2.0103292447162717,3.90627861226557
2.92,2.056880198648141,4.005154636205205
2.96,2.1038996143882587,4.105299442899226
3.0,2.1514598552569595,4.206758554576929
3.04,2.199370681667262,4.309255396293077
3.08,2.2476993730163817,4.412911478488846
3.12,2.2964813145819685,4.517875253897802
3.16,2.345676240033642,4.623972381370849
3.2,2.3952980425559867,4.731244342352084
3.24,2.377048156130573,4.804384300555317
3.28,2.426068795558339,4.913195869678836
3.32,2.4755160931205933,5.023212007922671
3.36,2.5252133912749573,5.134007030323398
3.4,2.575317762467715,5.245836823084133
3.44,2.625816800687779,5.358667592128579
3.48,2.676583804631197,5.472234562407451
3.52,2.727682066036425,5.587027918497334
3.56,2.625224520614076,5.482521920417622
3.6,2.6740659435176615,5.59507121282334
3.64,2.7232572151001637,5.708648690792657
3.68,2.7728165445642103,5.823317162549911
3.72,2.822727720675772,5.939041992320753
3.76,2.8729576017193788,6.055766546882071
3.8,2.9235800585924383,6.173738216817049
3.84,2.9238980047035805,6.297257371787127
3.88,2.6778977410482727,5.60975051535582
3.92,2.7241141201592756,5.716198925992767
3.96,2.7706345592034576,5.823483639974762
4.0,2.8174762743763857,5.931744141423464
4.04,2.8646093158905255,6.041003554070281
4.08,2.9119929036598444,6.15106470354935
4.12,2.9596566707456775,6.262038739281948
4.16,3.007579597839061,6.373858241403284
4.2,3.05577654335335,6.486496692081336
4.24,3.1042220756811365,6.600003181391105
4.28,3.152907240462171,6.714315018157017
4.32,3.2018651536022125,6.829529886980013
4.36,3.25106625882166,6.9455992914528375
4.4,3.300524366636064,7.062561803853472
4.44,3.3501959571240003,7.18033642808013
4.48,3.420669573943888,7.328686969817976
4.52,3.4711711463479484,7.448621703497498
4.56,3.5219397170284514,7.569397622724564
4.6,3.5729436182665424,7.691023679048362
4.64,3.6242341249332193,7.813554321824894
4.68,3.675784783436012,7.937014794643495
4.72,3.7276454557806398,8.0613790432477
4.76,3.779683246680017,8.186533972522792
4.8,3.831988541468518,8.312609257127521
4.84,3.8844872315690124,8.43944548140375
4.88,3.93723047663849,8.567155296959749
4.92,3.990235143744439,8.695878517499912
4.96,4.043496247916924,8.825447134445724
5.0,4.097039913908865,8.955953892700146
5.04,4.150788789619583,9.087175404476469
5.08,4.2048181662993995,9.219396475684816
5.12,4.259092588163651,9.352425683513205
5.16,4.313578478340444,9.486286755962656
5.2,4.36832166566755,9.621065711815335
5.24,4.423346760209402,9.756801154303796
5.28,4.478618499309041,9.893448112212917
5.32,4.534113273069167,10.030931839316384
5.36,4.5898319272187305,10.169220583603309
5.4,4.645787142433227,10.308338071191503
5.44,4.701931214883826,10.44818856757454
5.48,4.75830905195474,10.588815792589362
5.52,4.814885569966241,10.730248001121144
5.56,4.871686663190288,10.872567658070471
5.6,4.928741727134178,11.015803587198802
5.64,4.986011871571296,11.159827243134245
5.68,5.043523553372466,11.304742801488247
5.72,5.101308816520722,11.450549450155755
5.76,5.159305201643646,11.597275083338085
5.8,5.2175316212978435,11.744828528695379
5.84,5.2759791217117185,11.893169604913796
5.88,5.334696464105966,12.04254565826511
5.92,5.393657914623161,12.192810232941307
5.96,5.452850330866334,12.34396769736515
6.0,5.51227616496061,12.496061056554607
6.04,5.571955468171618,12.649063146756582
6.08,5.631934793997408,12.803104326330105
6.12,5.692171981675527,12.958048127590171
6.16,5.752636654386597,13.11382185709716
6.2,5.813379919437292,13.27052524060986
6.24,5.874380954878867,13.428215706594612
6.28,5.93562277231958,13.586704362652664
6.32,5.997103113140534,13.746079778801224
6.36,6.058814502666085,13.906249843984089
6.4,6.120764124607705,14.067381811398228
6.44,6.182936259750152,14.229291913243987
6.48,6.245336799154515,14.392065600642935
6.52,6.307932731769944,14.555440161327205
6.56,6.370749800611859,14.71960990875061
6.6,6.433792840786369,14.884648897068297
6.64,6.4970619079073835,15.05043802915627
6.68,6.560518641027615,15.216972688600551
6.72,6.6241988111756065,15.384239228411309
6.76,6.688077941383754,15.55228781888057
6.8,6.752185647373391,15.721202291967115
