xMSD,MSD,yerror
0.0,0.0,0.0
0.04,0.005023194720109683,0.00034242758099560435
0.08,0.008788176445079595,0.0006516909590011567
0.12,0.013134965156750646,0.0010952371746584249
0.16,0.01748734678451898,0.0016325780337468428
0.2,0.021848597854862446,0.0021899708765459724
0.24,0.026092473369102715,0.002718282002214287
0.28,0.030153561262100177,0.003214152043747321
0.32,0.034072677223525104,0.0037652094558657118
0.36,0.03780475933208091,0.004318498297669409
0.4,0.04155067100884177,0.0048807681179371815
0.44,0.045290225309380136,0.005471232085987457
0.48,0.0490231360002003,0.006080948177369932
0.52,0.052766706836608404,0.006745481002654346
0.56,0.056513740948874736,0.0074170991668807374
0.6,0.06028289442285851,0.00810415189833152
0.64,0.06408946665919693,0.008796988786952016
0.68,0.06792298766423885,0.00948414059210975
0.72,0.07176710156931349,0.010191488170316116
0.76,0.07567558815416418,0.01093829235917166
0.8,0.07955401009217183,0.01167049530224959
0.84,0.08347901075200265,0.012433127852509673
0.88,0.08738836318423429,0.013227667869749634
0.92,0.09135191891156993,0.014025733156375732
0.96,0.0952783048462707,0.014853373182800556
1.0,0.099240144949437,0.015719571323760423
1.04,0.10322192610360333,0.016610663645425433
1.08,0.10717722211445022,0.017579254883883077
1.12,0.11113897569231777,0.018559612022813567
1.16,0.11516319922405407,0.019555134175825193
1.2,0.1192241217318091,0.02055658194400257
1.24,0.12328278098761274,0.02155261224094569
1.28,0.12738363158210947,0.02254896613596122
1.32,0.1314964399835745,0.023590342944198792
1.36,0.13560767925995915,0.024689380512408456
1.4,0.13978931816127116,0.02580332003280354
1.44,0.1439405899093025,0.026891099973547158
1.48,0.14802254072270088,0.028029904130854377
1.52,0.15215610128267607,0.029205528859755442
1.56,0.15632592389018768,0.030414150117529567
1.6,0.16050361149845982,0.03163972319318644
1.64,0.16470798230706574,0.03284855323358054
1.68,0.16888273704559076,0.03406089439553607
1.72,0.1730605171138739,0.03527140452068932
1.76,0.17726687007849584,0.036496257142999734
1.8,0.181529745002837,0.03769258846881918
1.84,0.1857473656250663,0.03892785538038729
1.88,0.19000760555322382,0.040231132325168444
1.92,0.19428454724249503,0.04158920314431803
1.96,0.19862402827287406,0.042963582461680395
2.0,0.20294820155163149,0.044354721332861245
2.04,0.20726383364260778,0.04584608890889106
2.08,0.21157705018505926,0.04730178176210498
2.12,0.21592975540956236,0.04873867668621032
2.16,0.22031797383324478,0.050165325304550784
2.2,0.224699298282405,0.05164572873075893
2.24,0.22908961473932674,0.053167888613701475
2.28,0.2334665228629311,0.054661523055986025
2.32,0.2378738638411404,0.05617421945829817
2.36,0.24232598650989093,0.05769898202056853
2.4,0.2467711810051989,0.05925587932854915
2.44,0.25124196315142444,0.06081337587530171
2.48,0.2557429549214075,0.06236727907339149
2.52,0.2602225601085642,0.06397755092571167
2.56,0.26474091037612063,0.06561735124149808
2.6,0.2693333863023383,0.06727400631223501
2.64,0.2738971432095448,0.06889577203643629
2.68,0.2784829082896904,0.07052816353788342
2.72,0.2830418245845073,0.07213545160406956
2.76,0.28761461469657557,0.07378201616347026
2.8,0.2921810856824912,0.07541584013330326
2.84,0.29672898882844767,0.07711901683795915
2.88,0.30129098212846145,0.07882674556461804
2.92,0.30584749815955975,0.08057554981119519
2.96,0.31044799177239063,0.0823211675884457
3.0,0.31510244546109156,0.08409246226832608
3.04,0.3197325720932347,0.08587573989627076
3.08,0.3243863176131786,0.08768731784147885
3.12,0.328987261458103,0.08953311625548226
3.16,0.3336426447542824,0.09141161259638052
3.2,0.3382802613205876,0.09332342393606846
3.24,0.34289935161417673,0.09526996005058327
3.28,0.3475488277040266,0.09720738547756565
3.32,0.3521975704332417,0.0991694771432839
3.36,0.3569048445151186,0.10119221425623234
3.4,0.3616268923988682,0.10321529549732218
3.44,0.3663380194921518,0.10529954604016543
3.48,0.3710799918590281,0.10745403271443126
3.52,0.37579691318388336,0.10957390727059624
3.56,0.38052187517898267,0.11170184559243672
3.6,0.38523003371403,0.11387598705712929
