xMSD,MSD,yerror
0.0,0.0,0.0
0.04,0.01981269841983353,0.004275644334151835
0.08,0.04614616509613766,0.014196141668253557
0.12,0.08472650286316975,0.03155090484970217
0.16,0.1319771512707345,0.05551588396226383
0.2,0.1864065480353073,0.08619632316130808
0.24,0.2471019774669787,0.123767357915463
0.28,0.3134475315370281,0.16749155211746655
0.32,0.3856423336965704,0.218279770598407
0.36,0.46361117390575485,0.275958967219531
0.4,0.5477618454107095,0.34091131390692625
0.44,0.6374134178000733,0.41250098129902235
0.48,0.7327482179683636,0.49040066282440375
0.52,0.8192347354603364,0.5778936789182115
0.56,0.9244597200935644,0.6705925827428636
0.6,1.0351433230220612,0.7688922966843874
0.64,1.1512875319142386,0.8734185925847824
0.68,1.2733480300638786,0.9850808002829421
0.72,1.4004177565280806,1.1021805027494678
0.76,1.5331719737003673,1.2265404980972932
0.8,1.5394459146208397,1.154375338644448
0.84,1.6163877466097554,1.2569093883772267
0.88,1.7464501651441822,1.3780410221638058
0.92,1.8808670395558018,1.5047524975623097
0.96,2.019787776696018,1.637046174378307
1.0,2.16356430812331,1.774375207433911
1.04,2.3118838550545266,1.9169766077625379
1.08,2.4648265229361086,2.064725667826044
1.12,2.622582801337404,2.217814295596478
1.16,2.785068966998608,2.375931013491704
1.2,2.952339822227951,2.539283835124629
1.24,3.1239002914910543,2.707597383619608
1.28,3.3000444313590704,2.8809030655149535
1.32,3.480674481564671,3.059071300285279
1.36,3.6657402137797868,3.24219106011113
1.4,3.8556719181620127,3.4301960365191935
1.44,4.0502706794811,3.6229041396734285
1.48,4.2492405983405845,3.8208184403185528
1.52,4.452758786590574,4.023704431609176
1.56,4.660611458168106,4.231706256264893
1.6,4.873021021804254,4.444605533370418
1.64,5.090023823399566,4.662707685684253
1.68,5.3113748350006045,4.885908142993113
1.72,5.537239967147306,5.114012084164239
1.76,5.767517242347686,5.347248889409854
1.8,6.002240815200987,5.585760909455172
1.84,6.241287808660126,5.829329745278302
1.88,6.484724991772418,6.077824596091031
1.92,6.732215218124939,6.3313450347130935
1.96,6.983699092883731,6.589890460363155
2.0,7.239218931232903,6.853109929356942
2.04,7.498719956096622,7.120738524778813
2.08,7.762018938946483,7.392791697118913
2.12,8.02935879828557,7.669022991830042
2.16,8.30075979684971,7.950150922900124
2.2,8.576138110254345,8.23587047842502
2.24,8.85547588790183,8.526605033139242
2.28,9.138860235804913,8.822325041125016
2.32,9.426431758152631,9.123111036847613
2.36,9.718098822665212,9.428491252017114
2.4,10.013669844946794,9.738661121430873
2.44,10.31314683355576,10.053623755111188
2.48,10.616836335776501,10.373167374804384
2.52,10.924581067005464,10.697487507399755
2.56,11.236096762936352,11.026566766157433
2.6,11.552020414235908,11.36012303708966
2.64,11.871753492379986,11.697966671982023
2.68,12.195538892243563,12.040787660325007
2.72,12.523250277187456,12.38830364396708
2.76,12.854456938372355,12.739870524249557
2.8,13.189547429531904,13.096120131046339
2.84,13.528176032601916,13.456352246371363
2.88,13.870471125215976,13.820867085527805
2.92,14.640646011861786,14.246035923305078
2.96,15.00136269394471,14.620476104374006
3.0,15.36613319876258,14.999223495101626
3.04,15.734743595535896,15.38178751353431
3.08,16.107367733605898,15.768718900065524
3.12,16.483925659195403,16.159948324601928
3.16,16.864235257944124,16.555421445927035
3.2,17.248637114620394,16.95548921094408
3.24,17.636563575277734,17.35961357022409
3.28,18.028110871255915,17.768278403279716
3.32,18.423355474442616,18.18082596164539
3.36,18.82232887591532,18.597715466578553
3.4,19.224881410798073,19.018446961067465
3.44,19.63085903238898,19.44290806752801
3.48,20.04005517456989,19.871299565413175
3.52,20.452962810988883,20.30384534784476
3.56,20.869448581920672,20.739993723306135
3.6,21.289774631264365,21.179854735623785
3.64,21.713851855227777,21.623402889114857
3.68,22.14141183183325,22.070836235183585
3.72,22.57256289199048,22.521905879071564
3.76,23.007146560738217,22.977004963706456
3.8,23.44527452108056,23.435721827567438
3.84,23.886686219870384,23.898428594647612
3.88,24.33144997641434,24.36510023087151
3.92,24.779225199701273,24.835570272914353
3.96,25.230339823530706,25.309583518036376
4.0,25.68449904009753,25.78779813386005
4.04,26.141815944518775,26.269573175001945
4.08,26.60209042190973,26.75546751087766
4.12,27.06535184681407,27.244039229638055
4.16,27.531259677315894,27.73597840180265
4.2,28.000221715867713,28.231724995689174
4.24,28.471969562528322,28.730846276604666
4.28,28.946614297540712,29.2335779068215
4.32,29.424312586198827,29.73928862325025
4.36,29.905076038957528,30.249190990907472
4.4,30.388842503124874,30.76209962060912
4.44,30.875640054187315,31.27828425260849
4.48,32.19728556505741,32.05861629939034
4.52,32.70368962040975,32.58591400102169
4.56,33.21351467125265,33.1170008089675
4.6,33.72658259975292,33.65138897155586
4.64,34.243138492438085,34.18937966271847
4.68,34.762869387986974,34.73040230420405
4.72,35.28555563213754,35.27526362827776
4.76,35.811522983907345,35.82331454402706
4.8,36.34052339383055,36.37488910438682
4.84,36.87245879146848,36.92991452682793
4.88,37.40719158350343,37.48737386523056
4.92,37.94487450300329,38.04810948750257
4.96,38.48579798497083,38.61140945539873
5.0,39.02917369234446,39.177705297465536
5.04,39.575175258351294,39.746528577313576
5.08,40.12343879497321,40.317794350342716
5.12,40.67436489945104,40.892212776781925
5.16,41.22754631724581,41.46893457906943
5.2,41.78352687774606,42.04849052472165
5.24,42.34174118518924,42.630439851863265
5.28,42.902745421947095,43.215468818467414
5.32,43.46593210777812,43.80278320588437
5.36,44.03226249147353,44.39356698246185
5.4,44.6008244779241,44.986777595494736
5.44,45.17215582871531,45.583398439956795
5.48,45.7453642946312,46.18270783731782
5.52,46.32123278083446,46.78493729537921
5.56,46.89955841266738,47.38897597954672
5.6,47.48046513775069,47.99568214687737
5.64,48.06428139611291,48.604347549459774
5.68,48.649999014796315,49.21475321185519
5.72,49.23852801791219,49.82751273130048
5.76,49.82942244482297,50.44259182272016
5.8,50.422948064459455,51.06008470724651
5.84,51.0187226814454,51.679216939352706
5.88,53.24101467957988,52.5720954661416
5.92,53.85962811778037,53.19841428658432
5.96,54.480021813384674,53.82571883773634
6.0,55.10261474308818,54.4549200770132
6.04,55.72763223140009,55.08666258284089
